"key","description"
"ApertureGeometry_component_index","Position of the component along the beam path. The sample is at 0, components upstream have negative component_index, components downstream have positive component_index."
"ApertureGeometry_vertical","Optional description/label. Probably only present if we are an additional reference point for components rather than the location of a real component."
"Aperture_description","Declares which child group contains a path leading to a NXdata group. It is recommended (as of NIAC2014) to use this attribute to help define the path to the default dataset to be plotted. See https://www.nexusformat.org/2014_How_to_find_default_data.html for a summary of the discussion."
"Aperture_material","Absorbing material of the aperture"
"BCDI_beamSizeHorizontal","Horizontal beam size on the sample in microns"
"BCDI_beamSizeVertical","Vertical beam size on the sample in microns"
"DOI_abstract","Abstract of the DOI"
"DOI_title","Title fo the DOI"
"DOI_users","Users of the DOI. Comma separated string"
"EMCTF_resolution_limit","Limit of the resolution"
"EMMotionCorrection_average_motion","Average motion"
"EMMotionCorrection_frame_dose","Dose/frame"
"EMMotionCorrection_frame_range","Motion frame range"
"EMMotionCorrection_total_dose","Total dose"
"EMMotionCorrection_total_motion","Total motion of the sample"
"EM_amplitude_contrast","Amplitude contrast"
"EM_dose_initial","Dose initial"
"EM_dose_per_frame","Dose per frame"
"EM_grid_name","grid_name"
"EM_images_count","Number of images in movie"
"EM_magnification","Magnification"
"EM_position_x","Position X"
"EM_position_y","Position Y"
"EM_protein_acronym","Protein acronym"
"EM_sampling_rate","samplingRate"
"EM_spherical_aberration","Spherical aberration"
"EM_tilt_angle","tilt_angle"
"EM_voltage","Voltage"
"FLUO_i0","Incident intensity"
"FLUO_it","Transmitted intensity"
"Fresnel_zone_plate_fabrication","how the zone plate was manufactured. Any of these values: etched | plated | zone doubled | other"
"Fresnel_zone_plate_zone_support_material","Material present between the zones. This is usually only present for the “zone doubled” fabrication process"
"HOLO_N","Number of planes for holography"
"HOLO_dark_num_end","Index of last dark image"
"HOLO_dark_num_start","Index of first dark image"
"HOLO_holoSampleDetectorDistances","Sample/detector distances for all planes used"
"HOLO_holoSourceSampleDistances","Source/sample distances for all planes used"
"HOLO_im01_num_end","Index of last sample image in plane 1"
"HOLO_im01_num_start","Index of first sample image in plane 1"
"HOLO_im02_num_end","Index of last sample image in plane 2"
"HOLO_im02_num_start","Index of first sample image in plane 2"
"HOLO_im03_num_end","Index of last sample image in plane 3"
"HOLO_im03_num_start","Index of first sample image in plane 3"
"HOLO_im04_num_end","Index of last sample image in plane 4"
"HOLO_im04_num_start","Index of first sample image in plane 4"
"HOLO_pixelSize","Pixel size of first distance in micron"
"HOLO_ref01_num_end","Index of last reference image in plane 1"
"HOLO_ref02_num_end","Index of last reference image in plane 2"
"HOLO_ref02_num_start","Index of first reference image in plane 2"
"HOLO_ref03_num_end","Index of last reference image in plane 3"
"HOLO_ref03_num_start","Index of first reference image in plane 3"
"HOLO_ref04_num_end","Index of last reference image in plane 4"
"HOLO_ref04_num_start","Index of first reference image in plane 4"
"HTXRPD_distance","The perpendicular sample-detector distance"
